best_eval_accuracy = 0.2743718592964824
eval_accuracy = 0.2743718592964824
eval_loss = 1.3837420621657754
global_step = 832
loss = 0.35055488902219556
0	1	2	[0.8    0.7676 0.8003 0.745 ]
1	0	1	[0.7783 0.7837 0.7725 0.745 ]
2	0	0	[0.608 0.608 0.596 0.608]
3	3	3	[0.596 0.608 0.608 0.614]
4	1	1	[0.592  0.6377 0.592  0.592 ]
5	0	0	[0.592 0.592 0.592 0.592]
6	0	3	[0.5825 0.595  0.612  0.6177]
7	0	2	[0.6724 0.672  0.6772 0.6606]
8	3	2	[0.6963 0.6904 0.7017 0.6846]
9	0	3	[0.613 0.613 0.613 0.641]
10	3	0	[0.641 0.613 0.613 0.624]
11	2	3	[0.65   0.6445 0.639  0.6504]
12	0	3	[0.6787 0.6504 0.6562 0.69  ]
13	3	3	[0.5967 0.625  0.556  0.643 ]
14	0	2	[0.8374 0.843  0.8657 0.792 ]
15	3	1	[0.843  0.8657 0.837  0.792 ]
16	3	0	[0.6978 0.653  0.6807 0.692 ]
17	1	2	[0.7827 0.7827 0.8223 0.794 ]
18	1	0	[0.975 0.952 0.924 0.952]
19	2	0	[0.5513 0.528  0.54   0.54  ]
20	0	0	[0.9585 0.8857 0.9297 0.8906]
21	1	1	[0.629  0.6807 0.617  0.64  ]
22	0	2	[0.6377 0.632  0.6543 0.6436]
23	3	3	[0.6543 0.6436 0.632  0.655 ]
24	1	2	[0.702  0.691  0.759  0.7476]
25	2	3	[0.886  0.8813 0.886  0.9146]
26	3	3	[0.7427 0.755  0.7437 0.7603]
27	2	3	[0.897  0.8804 0.875  0.9023]
28	3	2	[0.6543 0.649  0.677  0.666 ]
29	3	2	[0.818  0.818  0.8896 0.8286]
30	3	0	[0.6665 0.6543 0.643  0.626 ]
31	1	1	[0.5767 0.588  0.588  0.5825]
32	0	0	[0.7397 0.711  0.682  0.699 ]
33	2	0	[0.7773 0.7197 0.76   0.7773]
34	3	1	[0.703  0.709  0.7026 0.6978]
35	3	1	[0.6333 0.6846 0.6045 0.65  ]
36	0	3	[0.746  0.746  0.7573 0.758 ]
37	0	0	[0.555 0.549 0.537 0.555]
38	0	3	[0.5376 0.537  0.549  0.555 ]
39	3	3	[0.6543 0.666  0.6484 0.734 ]
40	2	0	[0.677  0.655  0.6553 0.655 ]
41	0	0	[0.6787 0.662  0.628  0.662 ]
42	1	0	[0.576 0.547 0.564 0.535]
43	2	2	[0.524 0.524 0.559 0.553]
44	1	2	[0.5806 0.5864 0.609  0.586 ]
45	1	3	[0.5806 0.5864 0.586  0.609 ]
46	1	0	[0.6304 0.6016 0.613  0.6016]
47	2	1	[0.8174 0.845  0.8345 0.818 ]
48	3	3	[0.644  0.615  0.644  0.6777]
49	0	2	[0.5864 0.586  0.649  0.5806]
50	1	3	[0.787  0.787  0.7754 0.7925]
51	0	0	[0.798  0.787  0.7754 0.7925]
52	1	0	[0.8115 0.795  0.8003 0.778 ]
53	2	0	[0.8115 0.8003 0.7944 0.778 ]
54	3	1	[0.7334 0.7744 0.756  0.762 ]
