best_eval_accuracy = 0.6046901172529313
eval_accuracy = 0.6046901172529313
eval_loss = 0.9667929583054813
global_step = 624
loss = 0.2193882568359375
0	1	2	[-2.002 -1.58  -1.567 -3.465]
1	0	2	[-1.85   -3.26    0.1339 -3.262 ]
2	0	0	[ 0.9336 -2.955  -2.02   -1.607 ]
3	3	3	[-2.02  -1.607 -2.955  1.037]
4	1	1	[-1.688  -0.6807 -2.355  -1.379 ]
5	0	0	[-1.379 -2.355 -2.42  -1.688]
6	0	0	[-2.387 -6.117 -5.637 -5.75 ]
7	0	0	[-1.579 -3.4   -1.845 -2.166]
8	3	3	[-1.235  -0.8354  0.7485  2.074 ]
9	0	1	[-2.701  -0.5347 -1.838  -3.436 ]
10	3	1	[-3.436  -0.5347 -1.838  -2.205 ]
11	2	2	[-4.266  -0.9214  0.825  -3.244 ]
12	0	0	[ 2.352   0.955  -0.3213  0.1844]
13	3	0	[ 1.48    0.71   -1.188  -0.1182]
14	0	0	[-1.833 -2.115 -2.986 -2.61 ]
15	3	0	[-2.115 -2.986 -3.82  -2.61 ]
16	3	3	[ 0.1644 -0.4084  1.803   3.012 ]
17	1	2	[-2.662 -1.717 -1.402 -2.02 ]
18	1	1	[-3.482  -0.2864 -2.484  -4.31  ]
19	2	2	[-5.344 -5.21  -4.92  -5.145]
20	0	0	[ 0.545  -2.986   0.3665 -1.597 ]
21	1	2	[-0.88   -0.5024  2.277  -0.3708]
22	0	0	[2.908 0.215 2.01  2.139]
23	3	1	[2.01  2.139 0.215 1.644]
24	1	1	[-5.977 -4.79  -5.895 -5.113]
25	2	2	[1.938 2.125 4.18  1.636]
26	3	3	[-2.9   -2.088 -2.377 -1.743]
27	2	2	[-2.877  -2.941   0.0646 -3.08  ]
28	3	3	[-2.58  -0.677 -2.018  4.035]
29	3	3	[ 1.011  -1.12    0.4639  1.609 ]
30	3	2	[-5.402 -4.46  -1.81  -3.85 ]
31	1	3	[-3.59   -2.781  -2.465   0.1328]
32	0	0	[ 1.323 -3.105 -2.59  -3.383]
33	2	2	[-3.248   -3.809   -0.10596 -1.611  ]
34	3	3	[ 1.03   -0.631   0.8823  1.348 ]
35	3	3	[-5.418 -3.227 -4.617 -1.447]
36	0	0	[ 1.244  -0.2734 -3.225  -2.146 ]
37	0	0	[ 0.938   0.3408 -0.5405 -3.42  ]
38	0	0	[ 0.607  -0.5405  0.3408 -3.42  ]
39	3	3	[-4.887 -5.785 -4.977 -4.484]
40	2	2	[-2.754 -2.002 -1.034 -3.082]
41	0	0	[ 2.668 -3.418 -2.863 -3.502]
42	1	2	[-4.027 -2.15  -1.098 -4.57 ]
43	2	2	[-4.13  -6.105 -0.547 -5.94 ]
44	1	1	[-4.184  0.8   -3.676 -2.744]
45	1	1	[-4.184   1.6875 -2.744  -3.676 ]
46	1	2	[-1.345  -3.125   0.2498 -3.61  ]
47	2	2	[-1.894  -0.4802  1.544  -1.308 ]
48	3	0	[ 2.398 -1.832 -0.666 -0.456]
49	0	0	[-0.3486 -1.573  -3.533  -4.137 ]
50	1	3	[-2.613 -1.342 -2.412 -1.025]
51	0	0	[-0.692 -2.613 -2.412 -1.025]
52	1	1	[-0.462   0.1121 -1.046  -3.527 ]
53	2	0	[-0.462 -1.046 -1.77  -3.527]
54	3	1	[-1.469    1.942    0.4373   0.04343]
55	1	1	[-2.168  -0.465  -3.365  -0.4946]
56	2	2	[-5.99  -5.508 -3.123 -5.785]
57	2	3	[-1.442 -0.311  0.167  1.116]
